"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.947121380E-1,2.311797142E-1,1.713016331E-1,2.065393448E0
6.997121380E-1,2.029112279E-1,1.345346868E-1,2.214644432E0
7.047121380E-1,1.481035352E-1,1.123121977E-1,2.359325409E0
7.097121380E-1,5.330854654E-2,1.239967048E-1,2.467165947E0
7.147121380E-1,-4.950249195E-2,1.439473331E-1,2.511271477E0
7.197121380E-1,-1.583549976E-1,1.530438960E-1,2.529876709E0
7.247121380E-1,-2.769395709E-1,1.582453549E-1,2.534364700E0
7.297121380E-1,-3.587684035E-1,1.662431657E-1,2.506909370E0
7.347121380E-1,-4.459668994E-1,1.624410748E-1,2.491971970E0
7.397121380E-1,-4.759514332E-1,1.542767286E-1,2.463539124E0
7.447121380E-1,-4.888610244E-1,1.413438916E-1,2.438944817E0
7.497121380E-1,-4.042499363E-1,1.343630850E-1,2.470980644E0
7.547121380E-1,-3.240709007E-1,9.933599830E-2,2.565014839E0
7.597121380E-1,-3.383167386E-1,3.092382848E-2,2.562335968E0
7.647121380E-1,-3.788137734E-1,-7.631574571E-2,2.565836906E0
7.697121380E-1,-3.973417580E-1,-1.814233065E-1,2.620423317E0
7.747121380E-1,-4.434469938E-1,-3.284503520E-1,2.656783104E0
7.797121380E-1,-5.728601217E-1,-4.651817381E-1,2.692108154E0
7.847121380E-1,-6.629032493E-1,-5.781938434E-1,2.720692635E0
7.897121380E-1,-7.281282544E-1,-6.667984724E-1,2.630889893E0
7.947121380E-1,-7.031263113E-1,-6.983304024E-1,2.445088387E0
7.997121380E-1,-6.587480903E-1,-7.173873782E-1,2.168925285E0
8.047121380E-1,-6.470301151E-1,-7.234545946E-1,1.851558685E0
8.097121380E-1,-6.790521145E-1,-7.019433379E-1,1.514678955E0
8.147121380E-1,-8.589115739E-1,-6.222476959E-1,1.390472412E0
8.197121380E-1,-7.310155630E-1,-6.061900854E-1,8.886556625E-1
8.247121380E-1,-4.872791767E-1,-6.024281979E-1,2.616186142E-1
8.297121380E-1,-3.218816221E-1,-6.242393851E-1,-2.073240280E-1
8.347121380E-1,-2.434550822E-1,-6.846489906E-1,-5.606231689E-1
8.397121380E-1,-2.705526948E-1,-7.235850692E-1,-6.921987534E-1
8.447121380E-1,-3.128456771E-1,-7.271600366E-1,-6.454896927E-1
8.497121380E-1,-3.529478908E-1,-7.038824558E-1,-5.100698471E-1
8.547121380E-1,-3.259778619E-1,-6.711239219E-1,-4.219665527E-1
8.597121380E-1,-2.610634565E-1,-6.047829390E-1,-2.847242355E-1
8.647121380E-1,-1.585162282E-1,-4.907238483E-1,-8.651828766E-2
8.697121380E-1,-1.070701629E-1,-3.705726862E-1,2.378349304E-1
8.747121380E-1,-1.502179950E-1,-2.848637402E-1,6.356296539E-1
8.797121380E-1,-2.136385292E-1,-2.565394342E-1,9.652452469E-1
8.847121380E-1,-2.269347608E-1,-2.771262527E-1,1.236650467E0
8.897121380E-1,-2.467807829E-1,-3.522679508E-1,1.394216537E0
8.947121380E-1,-2.406708002E-1,-5.191516876E-1,1.429611206E0
8.997121380E-1,-2.348831296E-1,-7.612919807E-1,1.360934258E0
9.047121380E-1,-1.546040028E-1,-1.044342995E0,1.181973457E0
9.097121380E-1,8.925352246E-3,-1.279055119E0,8.797655106E-1
9.147121380E-1,1.000338048E-1,-1.412339926E0,6.338748932E-1
9.197121380E-1,-1.756474376E-3,-1.486325502E0,2.362785339E-1
9.247121380E-1,-3.522136807E-2,-1.499012709E0,-2.409420013E-1
9.297121380E-1,1.338145137E-2,-1.425117373E0,-9.358778000E-1
9.347121380E-1,7.955582440E-2,-1.304335117E0,-1.717471123E0
9.397121380E-1,4.609633982E-2,-1.182430148E0,-2.340843201E0
9.447121380E-1,2.150505334E-1,-1.500970840E0,-2.991502762E0
9.497121380E-1,7.947504520E-3,-1.248341084E0,-3.089258194E0
9.547121380E-1,-1.452915370E-1,-7.732326984E-1,-3.054794312E0
9.597121380E-1,-2.345493287E-1,-2.883766890E-1,-2.927449226E0
9.647121380E-1,-3.576642573E-1,1.276757419E-1,-2.597871780E0
