"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.883252516E2,2.407500076E1,4.931250095E0,2.615625191E1
4.883352516E2,2.527500153E1,6.393750191E0,2.540625191E1
4.883452516E2,2.531250191E1,5.962500095E0,2.463750076E1
4.883552516E2,2.523750114E1,5.943750381E0,2.660625076E1
4.883652516E2,2.484375191E1,5.662500381E0,2.538750076E1
4.883752516E2,2.407500076E1,5.231250286E0,2.615625191E1
4.883852516E2,2.486250114E1,5.981250286E0,2.433750153E1
4.883952516E2,2.407500076E1,4.931250095E0,2.660625076E1
4.884052516E2,2.257500076E1,4.518750191E0,2.660625076E1
4.884152516E2,2.679375076E1,5.193750381E0,2.585625076E1
4.884252516E2,2.531250191E1,4.931250095E0,2.538750076E1
4.884352516E2,2.428125191E1,4.350000381E0,2.523750114E1
4.884452516E2,2.409375191E1,3.450000048E0,2.688750076E1
4.884552516E2,2.572500038E1,5.793750286E0,2.600625038E1
4.884652516E2,2.454375076E1,3.900000095E0,2.688750076E1
4.884752516E2,2.428125191E1,4.050000191E0,2.523750114E1
4.884852516E2,2.430000114E1,2.868750095E0,2.596875191E1
4.884952516E2,2.310000038E1,6.262500286E0,2.722500038E1
4.885052516E2,2.351250076E1,4.800000191E0,2.493750191E1
4.885152516E2,2.407500076E1,5.981250286E0,2.508750153E1
4.885252516E2,2.604375076E1,5.943750381E0,2.540625191E1
4.885352516E2,2.529375076E1,4.931250095E0,2.615625191E1
4.885452516E2,2.488125038E1,3.900000095E0,2.583750153E1
4.885552516E2,2.411250114E1,4.500000000E0,2.538750076E1
4.885652516E2,2.302500153E1,5.250000000E0,2.585625076E1
4.885752516E2,2.533125114E1,4.931250095E0,2.463750076E1
4.885852516E2,2.484375191E1,4.931250095E0,2.583750153E1
4.885952516E2,2.533125114E1,4.481250286E0,2.508750153E1
4.886052516E2,2.379375076E1,4.500000000E0,2.583750153E1
4.886152516E2,2.456250191E1,4.931250095E0,2.538750076E1
4.886252516E2,2.418750191E1,6.562500477E0,2.570625114E1
4.886352516E2,2.375625038E1,5.681250095E0,2.615625191E1
4.886452516E2,2.330625153E1,5.681250095E0,2.585625076E1
4.886552516E2,2.420625114E1,5.081250191E0,2.675625038E1
4.886652516E2,2.454375076E1,5.231250286E0,2.585625076E1
4.886752516E2,2.467500114E1,5.531250000E0,2.570625114E1
4.886852516E2,2.471250153E1,5.081250191E0,2.493750191E1
4.886952516E2,2.580000114E1,5.531250000E0,2.371875000E1
4.887052516E2,2.529375076E1,5.662500381E0,2.508750153E1
4.887152516E2,2.604375076E1,5.662500381E0,2.538750076E1
4.887252516E2,2.467500114E1,5.081250191E0,2.645625114E1
4.887352516E2,2.407500076E1,4.931250095E0,2.660625076E1
4.887452516E2,2.315625000E1,4.350000381E0,2.750625038E1
4.887552516E2,2.422500038E1,4.781250000E0,2.675625038E1
4.887652516E2,2.418750191E1,5.081250191E0,2.750625038E1
4.887752516E2,2.392500114E1,5.531250000E0,2.570625114E1
4.887852516E2,2.274375153E1,5.100000381E0,2.523750114E1
4.887952516E2,2.535000038E1,4.200000286E0,2.508750153E1
4.888052516E2,2.418750191E1,5.081250191E0,2.720625114E1
4.888152516E2,2.488125038E1,4.500000000E0,2.538750076E1
4.888252516E2,2.480625153E1,5.662500381E0,2.660625076E1
4.888352516E2,2.353125000E1,3.618750095E0,2.598750114E1
4.888452516E2,2.546250153E1,4.331250191E0,2.598750114E1
4.888552516E2,2.722500038E1,5.475000381E0,2.675625038E1
4.888652516E2,2.540625191E1,5.512500286E0,2.645625114E1
4.888752516E2,2.598750114E1,4.893750191E0,2.765625191E1
4.888852516E2,2.471250153E1,4.350000381E0,2.568750191E1
4.888952516E2,2.497500038E1,4.781250000E0,2.645625114E1
4.889052516E2,2.409375191E1,4.500000000E0,2.613750076E1
4.889152516E2,2.538750076E1,5.793750286E0,2.675625038E1
4.889252516E2,2.469375038E1,3.600000143E0,2.720625114E1
4.889352516E2,2.501250076E1,4.350000381E0,2.568750191E1
4.889452516E2,2.413125038E1,4.950000286E0,2.463750076E1
4.889552516E2,2.388750076E1,3.187500238E0,2.461875153E1
4.889652516E2,2.313750076E1,5.531250000E0,2.645625114E1
4.889752516E2,2.375625038E1,5.681250095E0,2.615625191E1
4.889852516E2,2.396250153E1,5.831250191E0,2.448750114E1
4.889952516E2,2.304375076E1,4.500000000E0,2.613750076E1
4.890052516E2,2.304375076E1,4.500000000E0,2.613750076E1
4.890152516E2,2.325000000E1,2.887500048E0,2.596875191E1
4.890252516E2,2.396250153E1,4.350000381E0,2.598750114E1
4.890352516E2,2.379375076E1,3.900000095E0,2.688750076E1
4.890452516E2,2.379375076E1,3.900000095E0,2.688750076E1
4.890552516E2,2.431875038E1,3.318750143E0,2.521875191E1
4.890652516E2,2.428125191E1,4.050000191E0,2.568750191E1
4.890752516E2,2.581875038E1,3.600000143E0,2.521875191E1
4.890852516E2,2.581875038E1,3.600000143E0,2.521875191E1
4.890952516E2,2.503125191E1,3.600000143E0,2.598750114E1
4.891052516E2,2.351250076E1,3.618750095E0,2.643750191E1
4.891152516E2,2.497500038E1,4.781250000E0,2.645625114E1
4.891252516E2,2.338125038E1,4.218750000E0,2.538750076E1
4.891352516E2,2.478750038E1,3.618750095E0,2.416875076E1
4.891452516E2,2.461875153E1,4.218750000E0,2.431875038E1
4.891552516E2,2.401875114E1,4.068750381E0,2.446875191E1
4.891652516E2,2.471250153E1,4.350000381E0,2.568750191E1
4.891752516E2,2.578125191E1,3.300000191E0,2.673750114E1
4.891852516E2,2.649375153E1,4.312500000E0,2.675625038E1
4.891952516E2,2.658750153E1,3.600000143E0,2.446875191E1
4.892052516E2,2.548125076E1,4.331250191E0,2.523750114E1
4.892152516E2,2.486250114E1,4.200000286E0,2.583750153E1
4.892252516E2,2.653125191E1,2.550000191E0,2.718750191E1
4.892352516E2,2.338125038E1,3.187500238E0,2.613750076E1
4.892452516E2,2.563125038E1,4.181250095E0,2.583750153E1
4.892552516E2,2.461875153E1,3.918750048E0,2.461875153E1
4.892652516E2,2.413125038E1,3.900000095E0,2.583750153E1
4.892752516E2,2.490000153E1,4.200000286E0,2.508750153E1
4.892852516E2,2.484375191E1,5.962500095E0,2.508750153E1
4.892952516E2,2.388750076E1,3.187500238E0,2.461875153E1
4.893052516E2,2.471250153E1,4.050000191E0,2.598750114E1
4.893152516E2,2.398125076E1,3.618750095E0,2.598750114E1
4.893252516E2,2.606250191E1,4.181250095E0,2.613750076E1
4.893352516E2,2.531250191E1,4.481250286E0,2.583750153E1
4.893452516E2,2.544375038E1,4.781250000E0,2.598750114E1
4.893552516E2,2.506875038E1,3.600000143E0,2.521875191E1
4.893652516E2,2.351250076E1,4.068750381E0,2.598750114E1
4.893752516E2,2.623125076E1,4.331250191E0,2.568750191E1
4.893852516E2,2.527500153E1,4.912500381E0,2.660625076E1
4.893952516E2,2.484375191E1,4.931250095E0,2.615625191E1
4.894052516E2,2.570625114E1,5.062500000E0,2.720625114E1
4.894152516E2,2.505000114E1,4.800000191E0,2.446875191E1
4.894252516E2,2.304375076E1,3.918750048E0,2.658750153E1
4.894352516E2,2.323125076E1,5.118750095E0,2.448750114E1
4.894452516E2,2.493750191E1,2.718750000E0,2.506875038E1
4.894552516E2,2.578125191E1,4.781250000E0,2.493750191E1
4.894652516E2,2.310000038E1,3.937500238E0,2.461875153E1
4.894752516E2,2.473125076E1,4.050000191E0,2.568750191E1
4.894852516E2,2.385000038E1,3.918750048E0,2.506875038E1
4.894952516E2,2.551875114E1,3.600000143E0,2.491875076E1
4.895052516E2,2.533125114E1,5.681250095E0,2.433750153E1
4.895152516E2,2.328750038E1,2.906250000E0,2.445000076E1
4.895252516E2,2.409375191E1,3.450000048E0,2.735625076E1
4.895352516E2,2.542500114E1,5.812500000E0,2.600625038E1
4.895452516E2,2.478750038E1,2.868750095E0,2.521875191E1
4.895552516E2,2.634375191E1,4.462500095E0,2.660625076E1
4.895652516E2,2.533125114E1,4.481250286E0,2.538750076E1
4.895752516E2,2.611875153E1,3.881250143E0,2.506875038E1
4.895852516E2,2.426250076E1,3.600000143E0,2.673750114E1
4.895952516E2,2.544375038E1,3.581250191E0,2.720625114E1
4.896052516E2,2.313750076E1,5.531250000E0,2.645625114E1
4.896152516E2,2.551875114E1,3.600000143E0,2.491875076E1
4.896252516E2,2.495625114E1,4.331250191E0,2.795625114E1
4.896352516E2,2.486250114E1,4.931250095E0,2.538750076E1
4.896452516E2,2.501250076E1,4.031250000E0,2.643750191E1
4.896552516E2,2.396250153E1,3.318750143E0,2.673750114E1
4.896652516E2,2.465625191E1,4.331250191E0,2.750625038E1
4.896752516E2,2.505000114E1,4.050000191E0,2.523750114E1
4.896852516E2,2.411250114E1,4.200000286E0,2.583750153E1
4.896952516E2,2.638125038E1,4.912500381E0,2.508750153E1
4.897052516E2,2.581875038E1,4.050000191E0,2.446875191E1
4.897152516E2,2.471250153E1,4.350000381E0,2.568750191E1
4.897252516E2,2.486250114E1,3.450000048E0,2.688750076E1
4.897352516E2,2.351250076E1,4.068750381E0,2.598750114E1
4.897452516E2,2.379375076E1,4.200000286E0,2.613750076E1
4.897552516E2,2.456250191E1,3.900000095E0,2.613750076E1
4.897652516E2,2.501250076E1,3.300000191E0,2.673750114E1
4.897752516E2,2.401875114E1,2.287500143E0,2.596875191E1
4.897852516E2,2.385000038E1,3.187500238E0,2.536875153E1
4.897952516E2,2.553750038E1,5.643750191E0,2.690625191E1
4.898052516E2,2.409375191E1,4.200000286E0,2.658750153E1
4.898152516E2,2.566875076E1,3.900000095E0,2.506875038E1
4.898252516E2,2.420625114E1,2.006250143E0,2.505000114E1
4.898352516E2,2.490000153E1,3.168750048E0,2.581875038E1
4.898452516E2,2.611875153E1,4.481250286E0,2.431875038E1
4.898552516E2,2.469375038E1,4.331250191E0,2.643750191E1
4.898652516E2,2.321250153E1,4.068750381E0,2.568750191E1
4.898752516E2,2.606250191E1,4.912500381E0,2.583750153E1
4.898852516E2,2.458125114E1,5.231250286E0,2.463750076E1
4.898952516E2,2.445000076E1,5.212500095E0,2.842500114E1
4.899052516E2,2.636250114E1,3.431250095E0,2.735625076E1
4.899152516E2,2.538750076E1,2.418750048E0,2.581875038E1
4.899252516E2,2.490000153E1,3.168750048E0,2.581875038E1
4.899352516E2,2.420625114E1,3.600000143E0,2.795625114E1
4.899452516E2,2.574375153E1,4.331250191E0,2.675625038E1
4.899552516E2,2.356875038E1,2.287500143E0,2.596875191E1
4.899652516E2,2.334375000E1,3.168750048E0,2.733750153E1
4.899752516E2,2.536875153E1,1.668750048E0,2.656875038E1
4.899852516E2,2.400000000E1,3.318750143E0,2.566875076E1
4.899952516E2,2.581875038E1,3.600000143E0,2.491875076E1
