"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.096076740E-1,-1.564906001E0,-3.014956415E-1,1.005942631E1
4.117142890E-1,-1.593619823E0,-2.632105052E-1,1.006899738E1
4.138209030E-1,-1.631905079E0,-2.584248483E-1,1.004985523E1
4.159275700E-1,-1.641476393E0,-2.392822653E-1,1.002592659E1
4.180341840E-1,-1.655833244E0,-2.057827413E-1,9.982855797E0
4.201408510E-1,-1.665404558E0,-1.435693651E-1,9.973284721E0
4.222474140E-1,-1.665404558E0,-1.292124242E-1,9.963713646E0
4.243540280E-1,-1.670190215E0,-8.614161611E-2,9.973284721E0
4.264606430E-1,-1.646261930E0,-5.742774159E-2,9.963713646E0
4.285673090E-1,-1.622333765E0,-1.435693540E-2,9.968499184E0
4.306739240E-1,-1.598405480E0,3.828516230E-2,9.949356079E0
4.327805390E-1,-1.564906001E0,4.785645381E-2,9.944570541E0
4.348872050E-1,-1.545763373E0,8.135596663E-2,9.911071777E0
4.369938200E-1,-1.517049551E0,1.004985496E-1,9.901499748E0
4.391004340E-1,-1.502692580E0,1.196411327E-1,9.891928673E0
4.412070490E-1,-1.483550072E0,1.483550072E-1,9.858428955E0
4.433137160E-1,-1.464407444E0,1.866401732E-1,9.844072342E0
4.454202780E-1,-1.426122308E0,2.057827413E-1,9.829715729E0
4.475269450E-1,-1.411765337E0,2.249253243E-1,9.767501831E0
4.496335590E-1,-1.392622828E0,2.392822653E-1,9.719645500E0
4.517401740E-1,-1.339980721E0,2.488535494E-1,9.681360245E0
4.538467890E-1,-1.287338614E0,2.488535494E-1,9.595218658E0
4.559534030E-1,-1.153340459E0,1.914258152E-1,9.188439369E0
4.580600180E-1,-1.167697430E0,2.105683982E-1,9.365508080E0
4.601666840E-1,-1.205982566E0,2.584248483E-1,9.657432556E0
4.622732990E-1,-1.215553880E0,2.632105052E-1,9.571290970E0
4.643799140E-1,-1.143769264E0,2.536391914E-1,9.375079155E0
4.664865280E-1,-1.095912814E0,2.105683982E-1,9.178867340E0
4.685931950E-1,-1.091127157E0,1.962114573E-1,9.236295700E0
4.706998090E-1,-1.095912814E0,1.722832322E-1,9.365508080E0
4.728064240E-1,-1.095912814E0,1.579262912E-1,9.365508080E0
4.749130390E-1,-1.086341500E0,1.148554832E-1,9.284152031E0
4.770197050E-1,-1.057627559E0,9.092725813E-2,9.255437851E0
4.791262680E-1,-1.067198873E0,6.221338734E-2,9.241081238E0
4.812329340E-1,-1.067198873E0,3.349951655E-2,9.284152031E0
4.833394970E-1,-1.067198873E0,1.435693540E-2,9.303294182E0
4.854461640E-1,-1.076770186E0,-3.349951655E-2,9.317651749E0
4.875527780E-1,-1.071984529E0,-5.264209956E-2,9.327222824E0
4.896594450E-1,-1.086341500E0,-6.699903309E-2,9.355937004E0
4.917660590E-1,-1.071984529E0,-1.004985496E-1,9.379864693E0
4.938726740E-1,-1.095912814E0,-1.052841991E-1,9.408578873E0
4.959792890E-1,-1.095912814E0,-1.387837082E-1,9.456435204E0
4.980859030E-1,-1.110269666E0,-1.674975902E-1,9.504291534E0
5.001925180E-1,-1.129412293E0,-1.770688742E-1,9.528220177E0
5.022991320E-1,-1.129412293E0,-1.818545163E-1,9.561718941E0
5.044057990E-1,-1.143769264E0,-1.914258152E-1,9.585647583E0
5.065124140E-1,-1.129412293E0,-2.344966233E-1,9.638289452E0
5.086190280E-1,-1.153340459E0,-2.297109663E-1,9.671789169E0
5.107256430E-1,-1.148554921E0,-2.392822653E-1,9.700503349E0
5.128323090E-1,-1.124626637E0,-2.632105052E-1,9.743574142E0
5.149388720E-1,-1.158126116E0,-2.632105052E-1,9.772287369E0
5.170455390E-1,-1.158126116E0,-2.632105052E-1,9.791430473E0
5.191521530E-1,-1.153340459E0,-2.727817893E-1,9.839286804E0
5.212587680E-1,-1.153340459E0,-2.775674164E-1,9.891928673E0
5.233654340E-1,-1.153340459E0,-2.632105052E-1,9.896714211E0
5.254720490E-1,-1.143769264E0,-2.536391914E-1,9.925428391E0
5.275786640E-1,-1.143769264E0,-2.153540403E-1,9.934999466E0
5.296852780E-1,-1.148554921E0,-2.057827413E-1,9.920642853E0
5.317918930E-1,-1.143769264E0,-1.722832322E-1,9.911071777E0
5.338985070E-1,-1.148554921E0,-1.387837082E-1,9.906285286E0
5.360051740E-1,-1.148554921E0,-1.052841991E-1,9.887143135E0
5.381117890E-1,-1.162911773E0,-7.657032460E-2,9.877572060E0
5.402184030E-1,-1.182054400E0,-3.349951655E-2,9.844072342E0
5.423250180E-1,-1.201196909E0,-4.785645287E-3,9.839286804E0
5.444316320E-1,-1.210768223E0,3.828516230E-2,9.805787086E0
5.465382470E-1,-1.244267821E0,9.571290761E-2,9.791430473E0
5.486449140E-1,-1.258624673E0,1.292124242E-1,9.757930756E0
5.507515280E-1,-1.272981644E0,1.627119333E-1,9.705288887E0
5.528581430E-1,-1.301695466E0,1.866401732E-1,9.671789169E0
5.549647570E-1,-1.335195065E0,1.914258152E-1,9.643074989E0
5.570714240E-1,-1.359123230E0,2.201396823E-1,9.609575272E0
5.591779870E-1,-1.387837172E0,2.536391914E-1,9.566504478E0
5.612846530E-1,-1.392622828E0,2.536391914E-1,9.556933403E0
5.633912680E-1,-1.406979680E0,2.632105052E-1,9.509077072E0
5.654978820E-1,-1.416550994E0,2.823530734E-1,9.504291534E0
5.676044970E-1,-1.416550994E0,2.823530734E-1,9.456435204E0
5.697111640E-1,-1.421336651E0,2.727817893E-1,9.432506561E0
5.718177780E-1,-1.378265858E0,2.584248483E-1,9.379864693E0
5.739243930E-1,-1.373480201E0,2.392822653E-1,9.332008362E0
5.760310070E-1,-1.359123230E0,2.057827413E-1,9.288937569E0
5.781376220E-1,-1.349551916E0,1.818545163E-1,9.231510162E0
5.802442890E-1,-1.335195065E0,1.339980662E-1,9.183652878E0
5.823509030E-1,-1.301695466E0,6.221338734E-2,9.140582085E0
5.844575180E-1,-1.287338614E0,1.914258115E-2,9.092725754E0
5.865641320E-1,-1.282552958E0,-3.828516230E-2,9.073583603E0
5.886707470E-1,-1.277767301E0,-5.742774159E-2,9.078369141E0
5.907773620E-1,-1.253839016E0,-1.196411327E-1,9.068798065E0
5.928840280E-1,-1.234696507E0,-1.483550072E-1,9.087940216E0
5.949906430E-1,-1.239482164E0,-2.009970993E-1,9.159725189E0
5.970972570E-1,-1.244267821E0,-2.297109663E-1,9.207581520E0
5.992038720E-1,-1.205982566E0,-2.727817893E-1,9.260223389E0
6.013104870E-1,-1.225125194E0,-2.919243574E-1,9.312865257E0
6.034171530E-1,-1.215553880E0,-3.254238665E-1,9.403793335E0
6.055237680E-1,-1.210768223E0,-3.876372576E-1,9.470791817E0
6.076303820E-1,-1.205982566E0,-4.163511395E-1,9.566504478E0
6.097369970E-1,-1.215553880E0,-4.402793646E-1,9.657432556E0
6.118436120E-1,-1.186840057E0,-4.737788737E-1,9.729216576E0
6.139502260E-1,-1.191625714E0,-5.072783828E-1,9.815358162E0
