"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.265393410E-1,8.790117112E-1,-2.822081186E-2,1.069486514E-1,4.637930393E-1,5.695324883E1,2.910132119E0,1.236833137E1,5.595035120E1
3.315393410E-1,8.789948669E-1,-2.833986841E-2,1.059810966E-1,4.640397429E-1,5.695729697E1,2.847248933E0,1.227566147E1,5.596726464E1
3.365393410E-1,8.789861537E-1,-2.847003937E-2,1.050038561E-1,4.642703831E-1,5.695939087E1,2.782462549E0,1.218268824E1,5.598199055E1
3.415393410E-1,8.789848036E-1,-2.864370309E-2,1.039922088E-1,4.644899070E-1,5.695971531E1,2.711148276E0,1.208863240E1,5.599457164E1
3.465393410E-1,8.789940903E-1,-2.891290374E-2,1.029176340E-1,4.646949470E-1,5.695748359E1,2.626343976E0,1.199341931E1,5.600377372E1
3.515393410E-1,8.790067352E-1,-2.928472124E-2,1.017785296E-1,4.648985863E-1,5.695444472E1,2.527432827E0,1.189722991E1,5.601129865E1
3.565393410E-1,8.790243058E-1,-2.974092588E-2,1.005465835E-1,4.651044309E-1,5.695022183E1,2.414765957E0,1.179619555E1,5.601742167E1
3.615393410E-1,8.790605729E-1,-3.029533103E-2,9.917785972E-2,4.652939439E-1,5.694150456E1,2.284248059E0,1.168665181E1,5.601907082E1
3.665393410E-1,8.791134737E-1,-3.092607297E-2,9.768126905E-2,4.654690623E-1,5.692878696E1,2.138673876E0,1.156831044E1,5.601691416E1
3.715393410E-1,8.791844977E-1,-3.166436404E-2,9.610129893E-2,4.656141400E-1,5.691170838E1,1.977149914E0,1.144740341E1,5.600937963E1
3.765393410E-1,8.792755131E-1,-3.246367350E-2,9.444097430E-2,4.657269418E-1,5.688981574E1,1.804610847E0,1.132170949E1,5.599665664E1
3.815393410E-1,8.793869659E-1,-3.328347579E-2,9.272365272E-2,4.658037126E-1,5.686299662E1,1.626482881E0,1.119139808E1,5.597893333E1
3.865393410E-1,8.795218359E-1,-3.410782665E-2,9.096516669E-2,4.658361673E-1,5.683052706E1,1.445196711E0,1.105720776E1,5.595549366E1
3.915393410E-1,8.796633407E-1,-3.492158651E-2,8.922896534E-2,4.658444822E-1,5.679644190E1,1.266087695E0,1.092471237E1,5.592989851E1
3.965393410E-1,8.797977268E-1,-3.570294008E-2,8.756655455E-2,4.658469260E-1,5.676405409E1,1.094455260E0,1.079793554E1,5.590527166E1
4.015393410E-1,8.799082744E-1,-3.641524911E-2,8.600828797E-2,4.658733010E-1,5.673739879E1,9.360630305E-1,1.067795847E1,5.588604107E1
