"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.515393410E-1,-1.381314993E0,-2.012792379E-1,9.706793785E0
5.565393410E-1,-1.370380282E0,-1.939854324E-1,9.708491325E0
5.615393410E-1,-1.359773397E0,-1.860459596E-1,9.710139275E0
5.665393410E-1,-1.349556208E0,-1.783685535E-1,9.711707115E0
5.715393410E-1,-1.339567542E0,-1.717995703E-1,9.713209152E0
5.765393410E-1,-1.329221487E0,-1.672277600E-1,9.714710236E0
5.815393410E-1,-1.318101406E0,-1.653852016E-1,9.716256142E0
5.865393410E-1,-1.305341601E0,-1.671515107E-1,9.717948914E0
5.915393410E-1,-1.290871501E0,-1.723550558E-1,9.719791412E0
5.965393410E-1,-1.274727941E0,-1.809515506E-1,9.721764565E0
6.015393410E-1,-1.257452369E0,-1.924973130E-1,9.723793030E0
6.065393410E-1,-1.239478707E0,-2.065474689E-1,9.725811005E0
6.115393410E-1,-1.221396446E0,-2.225468606E-1,9.727746964E0
6.165393410E-1,-1.203307509E0,-2.398060858E-1,9.729590416E0
6.215393410E-1,-1.185612679E0,-2.577112317E-1,9.731305122E0
6.265393410E-1,-1.168337107E0,-2.756217122E-1,9.732903481E0
6.315393410E-1,-1.152136445E0,-2.930722237E-1,9.734324455E0
6.365393410E-1,-1.136948824E0,-3.090784848E-1,9.735615730E0
6.415393410E-1,-1.123198032E0,-3.228607774E-1,9.736763954E0
6.465393410E-1,-1.110880494E0,-3.335962594E-1,9.737814903E0
6.515393410E-1,-1.100065112E0,-3.407854140E-1,9.738794327E0
6.565393410E-1,-1.090359569E0,-3.441085815E-1,9.739768982E0
6.615393410E-1,-1.081819177E0,-3.437551260E-1,9.740733147E0
6.665393410E-1,-1.074000239E0,-3.400818110E-1,9.741727829E0
6.715393410E-1,-1.066752434E0,-3.336269259E-1,9.742747307E0
6.765393410E-1,-1.059472322E0,-3.243589103E-1,9.743854523E0
6.815393410E-1,-1.052009225E0,-3.127503693E-1,9.745042801E0
6.865393410E-1,-1.044388056E0,-2.996543050E-1,9.746273994E0
6.915393410E-1,-1.036963344E0,-2.859460413E-1,9.747478485E0
6.965393410E-1,-1.029765129E0,-2.725701928E-1,9.748623848E0
7.015393410E-1,-1.023290396E0,-2.604083419E-1,9.749638557E0
7.065393410E-1,-1.017533422E0,-2.503027022E-1,9.750505447E0
7.115393410E-1,-1.012429237E0,-2.427140772E-1,9.751228333E0
7.165393410E-1,-1.008124828E0,-2.379344255E-1,9.751791954E0
7.215393410E-1,-1.004519463E0,-2.358046174E-1,9.752216339E0
7.265393410E-1,-1.002216220E0,-2.370945811E-1,9.752422333E0
7.315393410E-1,-1.001060247E0,-2.412371337E-1,9.752438545E0
7.365393410E-1,-1.000772357E0,-2.477422804E-1,9.752305031E0
7.415393410E-1,-1.001052618E0,-2.555635273E-1,9.752075195E0
7.465393410E-1,-1.001576304E0,-2.634725273E-1,9.751811028E0
7.515393410E-1,-1.002312779E0,-2.705208957E-1,9.751542091E0
7.565393410E-1,-1.002821565E0,-2.761271894E-1,9.751332283E0
7.615393410E-1,-1.003096223E0,-2.799554169E-1,9.751194954E0
7.665393410E-1,-1.002836943E0,-2.818894088E-1,9.751165390E0
7.715393410E-1,-1.001902103E0,-2.817871571E-1,9.751264572E0
7.765393410E-1,-9.998085499E-1,-2.797534168E-1,9.751538277E0
7.815393410E-1,-9.966029525E-1,-2.758448720E-1,9.751977921E0
7.865393410E-1,-9.917958975E-1,-2.706772089E-1,9.752613068E0
7.915393410E-1,-9.860350490E-1,-2.643693686E-1,9.753371239E0
7.965393410E-1,-9.795703292E-1,-2.571615875E-1,9.754214287E0
8.015393410E-1,-9.732190967E-1,-2.497142851E-1,9.755043030E0
8.065393410E-1,-9.671032429E-1,-2.420372367E-1,9.755845070E0
8.115393410E-1,-9.613966346E-1,-2.345868498E-1,9.756591797E0
8.165393410E-1,-9.561272860E-1,-2.278939784E-1,9.757267952E0
8.215393410E-1,-9.517574906E-1,-2.219874263E-1,9.757830620E0
8.265393410E-1,-9.488428831E-1,-2.174395770E-1,9.758216858E0
8.315393410E-1,-9.475857019E-1,-2.144218683E-1,9.758405685E0
8.365393410E-1,-9.479362965E-1,-2.131868303E-1,9.758399010E0
8.415393410E-1,-9.501018524E-1,-2.137392610E-1,9.758175850E0
8.465393410E-1,-9.541042447E-1,-2.156018317E-1,9.757745743E0
8.515393410E-1,-9.590519667E-1,-2.182646841E-1,9.757201195E0
8.565393410E-1,-9.648452997E-1,-2.211664170E-1,9.756564140E0
8.615393410E-1,-9.712364078E-1,-2.237232029E-1,9.755871773E0
8.665393410E-1,-9.777434468E-1,-2.250216901E-1,9.755191803E0
8.715393410E-1,-9.841358066E-1,-2.247010320E-1,9.754556656E0
8.765393410E-1,-9.902263880E-1,-2.224164605E-1,9.753992081E0
8.815393410E-1,-9.956244826E-1,-2.179506868E-1,9.753544807E0
8.865393410E-1,-1.000174284E0,-2.111827582E-1,9.753227234E0
8.915393410E-1,-1.003392935E0,-2.022773921E-1,9.753085136E0
8.965393410E-1,-1.005162001E0,-1.915667206E-1,9.753119469E0
9.015393410E-1,-1.005313516E0,-1.794506311E-1,9.753334045E0
9.065393410E-1,-1.003446698E0,-1.666148454E-1,9.753754616E0
9.115393410E-1,-9.996536970E-1,-1.535900235E-1,9.754357338E0
9.165393410E-1,-9.943702221E-1,-1.410736591E-1,9.755085945E0
9.215393410E-1,-9.885035753E-1,-1.298592836E-1,9.755838394E0
9.265393410E-1,-9.829911590E-1,-1.197697297E-1,9.756524086E0
9.315393410E-1,-9.780095816E-1,-1.110320315E-1,9.757128716E0
9.365393410E-1,-9.736838341E-1,-1.036748365E-1,9.757642746E0
9.415393410E-1,-9.697895646E-1,-9.762772173E-2,9.758092880E0
9.465393410E-1,-9.662308097E-1,-9.292828292E-2,9.758490562E0
9.515393410E-1,-9.634477496E-1,-8.915337175E-2,9.758801460E0
9.565393410E-1,-9.612799883E-1,-8.614406735E-2,9.759041786E0
9.615393410E-1,-9.597899914E-1,-8.334663510E-2,9.759212494E0
9.665393410E-1,-9.585774541E-1,-8.073258400E-2,9.759354591E0
9.715393410E-1,-9.573900700E-1,-7.765986770E-2,9.759496689E0
9.765393410E-1,-9.560781717E-1,-7.365898788E-2,9.759655952E0
9.815393410E-1,-9.543307424E-1,-6.834370643E-2,9.759864807E0
9.865393410E-1,-9.519857764E-1,-6.170172989E-2,9.760138512E0
9.915393410E-1,-9.491024017E-1,-5.403381959E-2,9.760465622E0
9.965393410E-1,-9.457738400E-1,-4.594794288E-2,9.760828972E0
1.001539341E0,-9.416466951E-1,-3.815824911E-2,9.761261940E0
1.006539341E0,-9.357107878E-1,-3.119171597E-2,9.761857033E0
1.011539341E0,-9.273443222E-1,-2.531038225E-2,9.762672424E0
1.016539341E0,-9.164596796E-1,-2.106491104E-2,9.763710976E0
1.021539341E0,-9.037821889E-1,-1.884722337E-2,9.764896393E0
1.026539341E0,-8.900697231E-1,-1.916322298E-2,9.766156197E0
1.031539341E0,-8.762860894E-1,-2.216110192E-2,9.767395973E0
1.036539341E0,-8.643949628E-1,-2.855137177E-2,9.768438339E0
1.041539341E0,-8.573480248E-1,-3.982634470E-2,9.769020081E0
1.046539341E0,-8.538445830E-1,-5.507380515E-2,9.769252777E0
1.051539341E0,-8.521843553E-1,-7.283328474E-2,9.769281387E0
1.056539341E0,-8.509362936E-1,-9.176355600E-2,9.769229889E0
1.061539341E0,-8.497080207E-1,-1.107962653E-1,9.769141197E0
1.066539341E0,-8.492171168E-1,-1.294457465E-1,9.768953323E0
1.071539341E0,-8.506710529E-1,-1.477718055E-1,9.768567085E0
1.076539341E0,-8.544977903E-1,-1.662451029E-1,9.767936707E0
1.081539341E0,-8.597049117E-1,-1.855930686E-1,9.767131805E0
1.086539341E0,-8.625015020E-1,-2.064948678E-1,9.766465187E0
1.091539341E0,-8.650241494E-1,-2.294487506E-1,9.765729904E0
1.096539341E0,-8.654342890E-1,-2.544502914E-1,9.765074730E0
1.101539341E0,-8.621414900E-1,-2.818337679E-1,9.764613152E0
1.106539341E0,-8.533568382E-1,-3.110115230E-1,9.764499664E0
1.111539341E0,-8.386895657E-1,-3.407106102E-1,9.764779091E0
1.116539341E0,-8.205059171E-1,-3.695930541E-1,9.765272141E0
1.121539341E0,-8.000808358E-1,-3.967577815E-1,9.765901566E0
1.126539341E0,-7.769117951E-1,-4.213823676E-1,9.766740799E0
1.131539341E0,-7.505666614E-1,-4.431276023E-1,9.767839432E0
1.136539341E0,-7.215663195E-1,-4.617626667E-1,9.769161224E0
1.141539341E0,-6.893882751E-1,-4.765725434E-1,9.770773888E0
1.146539341E0,-6.535015702E-1,-4.875448644E-1,9.772697449E0
1.151539341E0,-6.137738228E-1,-4.940722287E-1,9.774945259E0
1.156539341E0,-5.711595416E-1,-4.964214861E-1,9.777408600E0
1.161539341E0,-5.277781487E-1,-4.958026111E-1,9.779877663E0
1.166539341E0,-4.859490395E-1,-4.935898483E-1,9.782157898E0
1.171539341E0,-4.487563670E-1,-4.915454090E-1,9.784036636E0
1.176539341E0,-4.171760678E-1,-4.906371534E-1,9.785480499E0
1.181539341E0,-3.913693428E-1,-4.914228618E-1,9.786507607E0
1.186539341E0,-3.711739480E-1,-4.944896996E-1,9.787139893E0
1.191539341E0,-3.553760052E-1,-4.991942644E-1,9.787487030E0
1.196539341E0,-3.426303566E-1,-5.051473975E-1,9.787635803E0
1.201539341E0,-3.321754038E-1,-5.111218095E-1,9.787686348E0
1.206539341E0,-3.228601515E-1,-5.158849359E-1,9.787748337E0
1.211539341E0,-3.132029176E-1,-5.186144710E-1,9.787918091E0
1.216539341E0,-3.025760055E-1,-5.192329288E-1,9.788218498E0
1.221539341E0,-2.912850380E-1,-5.177609324E-1,9.788639069E0
1.226539341E0,-2.792472839E-1,-5.142322779E-1,9.789176941E0
1.231539341E0,-2.673960030E-1,-5.084210038E-1,9.789810181E0
1.236539341E0,-2.566620409E-1,-4.998807907E-1,9.790538788E0
1.241539341E0,-2.476075739E-1,-4.876489341E-1,9.791388512E0
1.246539341E0,-2.404622585E-1,-4.708424211E-1,9.792388916E0
1.251539341E0,-2.382444441E-1,-4.599545002E-1,9.792961121E0
1.256539341E0,-2.380660623E-1,-4.449605644E-1,9.793657303E0
1.261539341E0,-2.392277122E-1,-4.266102612E-1,9.794445992E0
1.266539341E0,-2.434218675E-1,-4.050173163E-1,9.795258522E0
1.271539341E0,-2.516208589E-1,-3.799337745E-1,9.796055794E0
1.276539341E0,-2.637206018E-1,-3.523133695E-1,9.796771049E0
1.281539341E0,-2.790694535E-1,-3.240740299E-1,9.797319412E0
1.286539341E0,-2.967190742E-1,-2.977445722E-1,9.797636986E0
1.291539341E0,-3.148356080E-1,-2.763789892E-1,9.797698021E0
1.296539341E0,-3.311938941E-1,-2.625271976E-1,9.797539711E0
1.301539341E0,-3.432583809E-1,-2.579011321E-1,9.797246933E0
1.306539341E0,-3.494534492E-1,-2.643697262E-1,9.796855927E0
1.311539341E0,-3.491091430E-1,-2.831950486E-1,9.796341896E0
1.316539341E0,-3.418661654E-1,-3.140923381E-1,9.795655251E0
1.321539341E0,-3.273497820E-1,-3.551808000E-1,9.794748306E0
1.326539341E0,-3.067503273E-1,-4.034922123E-1,9.793542862E0
1.331539341E0,-2.820144594E-1,-4.552246928E-1,9.792018890E0
1.336539341E0,-2.543880939E-1,-5.064989328E-1,9.790257454E0
1.341539341E0,-2.251487821E-1,-5.533980131E-1,9.788434982E0
1.346539341E0,-1.960123628E-1,-5.926954150E-1,9.786760330E0
1.351539341E0,-1.686108112E-1,-6.219485402E-1,9.785455704E0
1.356539341E0,-1.447157562E-1,-6.399707198E-1,9.784675598E0
1.361539341E0,-1.246163324E-1,-6.463195682E-1,9.784535408E0
1.366539341E0,-1.079264060E-1,-6.419965029E-1,9.785018921E0
1.371539341E0,-9.485925734E-2,-6.292746067E-1,9.785980225E0
1.376539341E0,-8.498421311E-2,-6.108367443E-1,9.787238121E0
1.381539341E0,-7.799591124E-2,-5.893954039E-1,9.788611412E0
1.386539341E0,-7.358177006E-2,-5.673305988E-1,9.789949417E0
1.391539341E0,-7.092735916E-2,-5.465246439E-1,9.791152000E0
1.396539341E0,-6.927379221E-2,-5.285335779E-1,9.792152405E0
1.401539341E0,-6.766824424E-2,-5.141863823E-1,9.792926788E0
1.406539341E0,-6.547781080E-2,-5.036171079E-1,9.793491364E0
1.411539341E0,-6.216760352E-2,-4.960764945E-1,9.793897629E0
1.416539341E0,-5.744752660E-2,-4.903199375E-1,9.794216156E0
1.421539341E0,-5.141257122E-2,-4.852468073E-1,9.794502258E0
1.426539341E0,-4.373488203E-2,-4.801580608E-1,9.794791222E0
1.431539341E0,-3.472211957E-2,-4.746835828E-1,9.795093536E0
1.436539341E0,-2.752020396E-2,-4.692631662E-1,9.795377731E0
1.441539341E0,-1.957826875E-2,-4.646286070E-1,9.795618057E0
1.446539341E0,-1.006848644E-2,-4.612194300E-1,9.795793533E0
1.451539341E0,1.020467607E-3,-4.595261812E-1,9.795878410E0
1.456539341E0,1.419658214E-2,-4.611252248E-1,9.795792580E0
1.461539341E0,2.738122083E-2,-4.661088586E-1,9.795529366E0
1.466539341E0,3.972524032E-2,-4.744516611E-1,9.795085907E0
1.471539341E0,5.135066807E-2,-4.862394929E-1,9.794453621E0
1.476539341E0,6.038870290E-2,-5.017158985E-1,9.793622017E0
1.481539341E0,6.766899675E-2,-5.211066604E-1,9.792560577E0
1.486539341E0,7.350862771E-2,-5.443184376E-1,9.791256905E0
1.491539341E0,7.863105088E-2,-5.711662769E-1,9.789687157E0
1.496539341E0,8.278533816E-2,-6.011773944E-1,9.787856102E0
1.501539341E0,8.555063605E-2,-6.336429715E-1,9.785783768E0
1.506539341E0,8.692198247E-2,-6.680286527E-1,9.783484459E0
1.511539341E0,8.675542474E-2,-7.046122551E-1,9.780920029E0
1.516539341E0,8.537784964E-2,-7.433683276E-1,9.778062820E0
1.521539341E0,8.338834345E-2,-7.839590907E-1,9.774908066E0
1.526539341E0,8.102212101E-2,-8.255869150E-1,9.771501541E0
1.531539341E0,7.814101875E-2,-8.678281903E-1,9.767864227E0
1.536539341E0,7.421509176E-2,-9.102337360E-1,9.764034271E0
1.541539341E0,6.852734834E-2,-9.525029063E-1,9.760042191E0
1.546539341E0,6.085944548E-2,-9.943163395E-1,9.755923271E0
1.551539341E0,5.181731284E-2,-1.035160661E0,9.751725197E0
1.556539341E0,4.219309241E-2,-1.074788332E0,9.747484207E0
1.561539341E0,3.305737674E-2,-1.112877846E0,9.743243217E0
1.566539341E0,2.516695857E-2,-1.149508357E0,9.739012718E0
1.571539341E0,1.964337565E-2,-1.184785604E0,9.734798431E0
1.576539341E0,1.726390608E-2,-1.219033718E0,9.730573654E0
1.581539341E0,1.862047240E-2,-1.252779245E0,9.726283073E0
1.586539341E0,2.402344160E-2,-1.286482811E0,9.721871376E0
1.591539341E0,3.283699229E-2,-1.320459723E0,9.717288971E0
1.596539341E0,4.459715635E-2,-1.354672670E0,9.712531090E0
1.601539341E0,5.869613960E-2,-1.388838887E0,9.707630157E0
1.606539341E0,7.470072806E-2,-1.422199845E0,9.702688217E0
1.611539341E0,9.190246463E-2,-1.453787327E0,9.697857857E0
1.616539341E0,1.090072095E-1,-1.482414722E0,9.693345070E0
1.621539341E0,1.241254210E-1,-1.506845117E0,9.689395905E0
1.626539341E0,1.349546015E-1,-1.525669813E0,9.686305046E0
1.631539341E0,1.401064545E-1,-1.537948132E0,9.684288979E0
1.636539341E0,1.380632073E-1,-1.543195248E0,9.683485031E0
1.641539341E0,1.276657134E-1,-1.541217327E0,9.683942795E0
1.646539341E0,1.088840887E-1,-1.532000065E0,9.685633659E0
1.651539341E0,8.249182999E-2,-1.515459657E0,9.688496590E0
1.656539341E0,4.976333678E-2,-1.491517782E0,9.692435265E0
1.661539341E0,1.174514275E-2,-1.460178971E0,9.697325706E0
1.666539341E0,-3.059209883E-2,-1.421928644E0,9.702967644E0
1.671539341E0,-7.676949352E-2,-1.377085567E0,9.709177017E0
1.676539341E0,-1.268979609E-1,-1.325824142E0,9.715785027E0
1.681539341E0,-1.810096949E-1,-1.268039227E0,9.722638130E0
1.686539341E0,-2.382065654E-1,-1.203474402E0,9.729609489E0
1.691539341E0,-2.965063155E-1,-1.132005811E0,9.736581802E0
1.696539341E0,-3.537367880E-1,-1.053737760E0,9.743453026E0
1.701539341E0,-4.078477621E-1,-9.691649079E-1,9.750115395E0
1.706539341E0,-4.564617276E-1,-8.787177801E-1,9.756529808E0
1.711539341E0,-4.969259202E-1,-7.841783762E-1,9.762607574E0
1.716539341E0,-5.272505879E-1,-6.875121593E-1,9.768301964E0
1.721539341E0,-5.468759537E-1,-5.912015438E-1,9.773525238E0
1.726539341E0,-5.549556017E-1,-4.976090789E-1,9.778282166E0
1.731539341E0,-5.509018302E-1,-4.083980024E-1,9.782643318E0
1.736539341E0,-5.360257626E-1,-3.249177933E-1,9.786598206E0
1.741539341E0,-5.125811100E-1,-2.487650216E-1,9.790085793E0
1.746539341E0,-4.850902557E-1,-1.818209291E-1,9.792957306E0
1.751539341E0,-4.571745098E-1,-1.254417300E-1,9.795185089E0
1.756539341E0,-4.314130247E-1,-7.989303023E-2,9.796829224E0
1.761539341E0,-4.101730883E-1,-4.479621723E-2,9.797966003E0
1.766539341E0,-3.967555463E-1,-1.972029731E-2,9.798600197E0
1.771539341E0,-3.988499343E-1,-3.258129815E-3,9.798535347E0
1.776539341E0,-4.185156822E-1,4.388058092E-3,9.797714233E0
1.781539341E0,-4.509499967E-1,-1.069893246E-3,9.796276093E0
1.786539341E0,-4.876166582E-1,-1.991193369E-2,9.794499397E0
1.791539341E0,-5.198802948E-1,-4.852750525E-2,9.792739868E0
